name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,633.9599406719208,-0.0036500096321105957,0.0,690,1000,0.025
DeepDAC,627.4708278179169,0.02777498960494995,0.436,827,1000,0.025
DeepDAC_2,638.2638537883759,0.023800015449523926,0.452,679,1000,0.025
CES,627.655680179596,0.018824994564056396,0.037,792,1000,0.025
Gini,616.5218098163605,0.01962500810623169,0.522,360,1000,0.025
Random,635.9948208332062,0.01872497797012329,0.02,843,1000,0.025
MAX_P,609.6616535186768,0.017774999141693115,0.557,398,1000,0.025
LSA,626.8598921298981,0.006699979305267334,0.049,1,1000,0.025
DeepDiv,618.1670033931732,0.02824997901916504,0.0,1409,2000,0.05
DeepDAC,640.1781620979309,0.030775010585784912,0.496,1664,2000,0.05
DeepDAC_2,614.4507360458374,0.02702498435974121,0.5095,1234,2000,0.05
CES,646.1827607154846,0.021700024604797363,0.067,1602,2000,0.05
Gini,618.0180327892303,0.023074984550476074,0.5635,767,2000,0.05
Random,643.8835380077362,0.02319997549057007,0.038,1667,2000,0.05
MAX_P,626.8017601966858,0.023975014686584473,0.5585,965,2000,0.05
LSA,620.9433636665344,0.006550014019012451,0.0925,3,2000,0.05
DeepDiv,657.6523175239563,0.03427499532699585,0.0,2126,3000,0.075
DeepDAC,642.8049232959747,0.03675001859664917,0.516,2402,3000,0.075
DeepDAC_2,646.3408198356628,0.03472501039505005,0.5613333333333334,1936,3000,0.075
CES,624.6676061153412,0.027350008487701416,0.09133333333333334,2398,3000,0.075
Gini,640.5632898807526,0.029025018215179443,0.6173333333333333,1244,3000,0.075
Random,632.0612998008728,0.026000022888183594,0.06333333333333334,2484,3000,0.075
MAX_P,635.7575216293335,0.030674993991851807,0.5676666666666667,1582,3000,0.075
LSA,606.297171831131,0.012475013732910156,0.16633333333333333,105,3000,0.075
DeepDiv,645.2474231719971,0.03657501935958862,0.0,2827,4000,0.1
DeepDAC,648.2054448127747,0.04177498817443848,0.53125,3126,4000,0.1
DeepDAC_2,631.5178654193878,0.039974987506866455,0.585,2666,4000,0.1
CES,661.4156422615051,0.030875027179718018,0.1145,3189,4000,0.1
Gini,628.9943826198578,0.0343250036239624,0.59075,1925,4000,0.1
Random,666.2463872432709,0.029075026512145996,0.087,3301,4000,0.1
MAX_P,635.2370307445526,0.0345500111579895,0.56325,2130,4000,0.1
LSA,639.8398249149323,0.014299988746643066,0.18825,210,4000,0.1
