name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,622.2629570960999,0.025475025177001953,0.0,1000,1000,0.025
DeepDAC,644.288937330246,0.024250030517578125,0.549,1000,1000,0.025
DeepDAC_2,619.9339323043823,0.028325021266937256,0.588,1000,1000,0.025
CES,640.4484865665436,0.018800020217895508,0.047,1000,1000,0.025
Gini,625.9682171344757,0.018925011157989502,0.696,1000,1000,0.025
Random,625.512592792511,0.019275009632110596,0.02,1000,1000,0.025
MAX_P,644.5837912559509,0.021499991416931152,0.568,1000,1000,0.025
LSA,623.3608379364014,0.018150031566619873,0.086,1000,1000,0.025
DeepDiv,652.0443212985992,0.033424973487854004,0.0,2000,2000,0.05
DeepDAC,636.306342124939,0.0340999960899353,0.5875,2000,2000,0.05
DeepDAC_2,655.4136338233948,0.03395003080368042,0.659,2000,2000,0.05
CES,604.6903011798859,0.026050031185150146,0.079,2000,2000,0.05
Gini,624.0311462879181,0.03277498483657837,0.6575,2000,2000,0.05
Random,612.035478591919,0.024950027465820312,0.0455,2000,2000,0.05
MAX_P,619.2837665081024,0.03095000982284546,0.5585,2000,2000,0.05
LSA,618.6430907249451,0.023750007152557373,0.1345,2000,2000,0.05
DeepDiv,606.4399282932281,0.038900017738342285,0.0,3000,3000,0.075
DeepDAC,645.0490934848785,0.03852498531341553,0.5866666666666667,3000,3000,0.075
DeepDAC_2,600.2966027259827,0.039749979972839355,0.686,3000,3000,0.075
CES,635.1225576400757,0.030075013637542725,0.10866666666666666,3000,3000,0.075
Gini,611.3326897621155,0.036625027656555176,0.5883333333333334,3000,3000,0.075
Random,642.3370640277863,0.026449978351593018,0.06066666666666667,3000,3000,0.075
MAX_P,610.0301144123077,0.037100017070770264,0.5486666666666666,3000,3000,0.075
LSA,635.3801274299622,0.028424978256225586,0.174,3000,3000,0.075
DeepDiv,629.1495409011841,0.04474997520446777,0.0,4000,4000,0.1
DeepDAC,628.7459845542908,0.04294997453689575,0.58475,4000,4000,0.1
DeepDAC_2,638.0463345050812,0.0440250039100647,0.7015,4000,4000,0.1
CES,625.7844371795654,0.03350001573562622,0.1355,4000,4000,0.1
Gini,637.1615583896637,0.043200016021728516,0.56075,4000,4000,0.1
Random,629.0198283195496,0.03250002861022949,0.08075,4000,4000,0.1
MAX_P,645.2661561965942,0.04187500476837158,0.54775,4000,4000,0.1
LSA,614.8000011444092,0.030875027179718018,0.20475,4000,4000,0.1
