name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,114.10021591186523,0.02242499589920044,0.0,878,1000,0.025
DeepDAC,114.15397238731384,0.026149988174438477,0.383,873,1000,0.025
DeepDAC_2,113.86129403114319,0.02347499132156372,0.453,898,1000,0.025
CES,111.09962677955627,0.015325009822845459,0.02,895,1000,0.025
Gini,114.5957190990448,0.018225014209747314,0.363,641,1000,0.025
Random,154.1986949443817,0.015375018119812012,0.02,818,1000,0.025
MAX_P,154.91249680519104,0.019950032234191895,0.386,703,1000,0.025
LSA,150.41661286354065,0.01789999008178711,0.203,665,1000,0.025
DeepDiv,155.0429983139038,0.034150004386901855,0.0,1736,2000,0.05
DeepDAC,158.70531296730042,0.033600032329559326,0.479,1746,2000,0.05
DeepDAC_2,154.78946232795715,0.03227502107620239,0.4605,1804,2000,0.05
CES,156.59384655952454,0.023050010204315186,0.039,1790,2000,0.05
Gini,158.8984580039978,0.026374995708465576,0.3815,1453,2000,0.05
Random,151.76367926597595,0.0221250057220459,0.0445,1648,2000,0.05
MAX_P,155.4620668888092,0.03062504529953003,0.429,1545,2000,0.05
LSA,158.47911858558655,0.0196000337600708,0.2675,1294,2000,0.05
DeepDiv,153.09147214889526,0.04142498970031738,0.0,2568,3000,0.075
DeepDAC,160.00014352798462,0.03777503967285156,0.5026666666666667,2599,3000,0.075
DeepDAC_2,162.4927623271942,0.0406000018119812,0.49366666666666664,2724,3000,0.075
CES,154.65026259422302,0.025550007820129395,0.05533333333333333,2673,3000,0.075
Gini,161.22836232185364,0.03395003080368042,0.4186666666666667,2283,3000,0.075
Random,162.50384545326233,0.03100001811981201,0.07233333333333333,2462,3000,0.075
MAX_P,153.23292064666748,0.035425007343292236,0.469,2380,3000,0.075
LSA,162.3951015472412,0.03145003318786621,0.30666666666666664,1907,3000,0.075
DeepDiv,163.7985680103302,0.04565000534057617,0.0,3417,4000,0.1
DeepDAC,155.45006704330444,0.04287499189376831,0.518,3478,4000,0.1
DeepDAC_2,165.7512185573578,0.04377502202987671,0.522,3582,4000,0.1
CES,163.39584183692932,0.030149996280670166,0.07375,3582,4000,0.1
Gini,153.21668124198914,0.039350032806396484,0.46525,3144,4000,0.1
Random,163.3379578590393,0.03692501783370972,0.084,3295,4000,0.1
MAX_P,162.13362193107605,0.042375028133392334,0.5025,3194,4000,0.1
LSA,155.8445041179657,0.03272503614425659,0.384,2494,4000,0.1
