name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,875.8887903690338,0.02490001916885376,0.0,910,1000,0.025
DeepDAC,876.5460600852966,0.03700000047683716,0.38,949,1000,0.025
DeepDAC_2,907.1489748954773,0.031199991703033447,0.44,987,1000,0.025
CES,886.5031921863556,0.0307999849319458,0.024,858,1000,0.025
Gini,889.2437746524811,0.029799997806549072,0.507,895,1000,0.025
Random,870.7828586101532,0.014375030994415283,0.023,839,1000,0.025
MAX_P,873.3217787742615,0.019025027751922607,0.534,836,1000,0.025
LSA,860.04629945755,0.011650025844573975,0.031,93,1000,0.025
DeepDiv,880.9564988613129,0.046150028705596924,0.0,1784,2000,0.05
DeepDAC,905.3854038715363,0.03377503156661987,0.5,1889,2000,0.05
DeepDAC_2,910.3707933425903,0.05094999074935913,0.4945,1967,2000,0.05
CES,901.6799259185791,0.030600011348724365,0.0485,1739,2000,0.05
Gini,887.1191101074219,0.041999995708465576,0.4795,1656,2000,0.05
Random,908.2929241657257,0.03925001621246338,0.0425,1699,2000,0.05
MAX_P,871.22789478302,0.03727501630783081,0.5145,1589,2000,0.05
LSA,888.9047560691833,0.01714998483657837,0.062,172,2000,0.05
DeepDiv,886.0873820781708,0.05672502517700195,0.0,2650,3000,0.075
DeepDAC,891.875394821167,0.04874998331069946,0.536,2825,3000,0.075
DeepDAC_2,925.1128375530243,0.04084998369216919,0.532,2932,3000,0.075
CES,901.1744847297668,0.027225017547607422,0.06566666666666666,2613,3000,0.075
Gini,896.1997182369232,0.04905003309249878,0.509,2411,3000,0.075
Random,915.1213157176971,0.03887498378753662,0.06566666666666666,2527,3000,0.075
MAX_P,914.10626912117,0.04505002498626709,0.5536666666666666,2360,3000,0.075
LSA,886.200811624527,0.020850002765655518,0.08833333333333333,342,3000,0.075
DeepDiv,938.4090058803558,0.06430000066757202,0.0,3505,4000,0.1
DeepDAC,936.4128084182739,0.04890000820159912,0.565,3781,4000,0.1
DeepDAC_2,904.1385266780853,0.058375000953674316,0.5795,3878,4000,0.1
CES,930.8712377548218,0.04317498207092285,0.0875,3498,4000,0.1
Gini,908.0269100666046,0.048175036907196045,0.545,3143,4000,0.1
Random,925.6098735332489,0.04802501201629639,0.0835,3343,4000,0.1
MAX_P,902.4176001548767,0.05940002202987671,0.58575,3154,4000,0.1
LSA,863.5979189872742,0.019975006580352783,0.114,582,4000,0.1
