name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,873.4201607704163,0.032649993896484375,0.0,1000,1000,0.025
DeepDAC,900.5650932788849,0.024725019931793213,0.373,1000,1000,0.025
DeepDAC_2,895.1038167476654,0.03702503442764282,0.449,1000,1000,0.025
CES,893.1703097820282,0.022350013256072998,0.022,1000,1000,0.025
Gini,875.1981947422028,0.03259998559951782,0.5,1000,1000,0.025
Random,902.7318909168243,0.02952498197555542,0.022,1000,1000,0.025
MAX_P,898.1522381305695,0.036949992179870605,0.531,1000,1000,0.025
LSA,896.1154375076294,0.024075031280517578,0.104,1000,1000,0.025
DeepDiv,891.5772304534912,0.040199995040893555,0.0,2000,2000,0.05
DeepDAC,910.6338818073273,0.05057501792907715,0.497,2000,2000,0.05
DeepDAC_2,880.2098190784454,0.05215001106262207,0.501,2000,2000,0.05
CES,897.2330994606018,0.04527503252029419,0.0335,2000,2000,0.05
Gini,911.8293318748474,0.04409998655319214,0.485,2000,2000,0.05
Random,889.6841888427734,0.02942502498626709,0.0445,2000,2000,0.05
MAX_P,899.6629664897919,0.040199995040893555,0.52,2000,2000,0.05
LSA,883.5843365192413,0.028649985790252686,0.1435,2000,2000,0.05
DeepDiv,888.6022355556488,0.05252498388290405,0.0,3000,3000,0.075
DeepDAC,912.7812116146088,0.04865002632141113,0.5276666666666666,3000,3000,0.075
DeepDAC_2,882.037575006485,0.048700034618377686,0.537,3000,3000,0.075
CES,888.441929101944,0.04067498445510864,0.054,3000,3000,0.075
Gini,889.3206012248993,0.04302501678466797,0.521,3000,3000,0.075
Random,913.7431240081787,0.0417250394821167,0.06266666666666666,3000,3000,0.075
MAX_P,909.6006405353546,0.04767501354217529,0.555,3000,3000,0.075
LSA,894.7625238895416,0.04475003480911255,0.18933333333333333,3000,3000,0.075
DeepDiv,899.7298982143402,0.05977499485015869,0.0,4000,4000,0.1
DeepDAC,905.290210723877,0.061300039291381836,0.54475,4000,4000,0.1
DeepDAC_2,925.2399637699127,0.06212502717971802,0.57875,4000,4000,0.1
CES,930.292106628418,0.048799991607666016,0.07225,4000,4000,0.1
Gini,911.1625053882599,0.0598750114440918,0.54875,4000,4000,0.1
Random,916.3317608833313,0.044725000858306885,0.08175,4000,4000,0.1
MAX_P,924.2285289764404,0.05414998531341553,0.5685,4000,4000,0.1
LSA,882.4380025863647,0.04812502861022949,0.2325,4000,4000,0.1
