name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,377.8267545700073,0.037249982357025146,0.0,1000,1000,0.025
DeepDAC,407.56612825393677,0.034474968910217285,0.438,1000,1000,0.025
DeepDAC_2,401.20209670066833,0.035899996757507324,0.503,1000,1000,0.025
CES,398.71183252334595,0.01662498712539673,0.012,1000,1000,0.025
Gini,406.53403639793396,0.03229999542236328,0.655,1000,1000,0.025
Random,407.27481174468994,0.020574986934661865,0.018,1000,1000,0.025
MAX_P,408.6134328842163,0.03312498331069946,0.669,1000,1000,0.025
LSA,402.3246970176697,0.03259998559951782,0.401,1000,1000,0.025
DeepDiv,396.12457299232483,0.047099947929382324,0.0,2000,2000,0.05
DeepDAC,391.10797357559204,0.045024991035461426,0.541,2000,2000,0.05
DeepDAC_2,406.75393509864807,0.04767495393753052,0.5675,2000,2000,0.05
CES,411.4990301132202,0.0221250057220459,0.0295,2000,2000,0.05
Gini,404.3152937889099,0.04392498731613159,0.6835,2000,2000,0.05
Random,412.5778830051422,0.02879995107650757,0.04,2000,2000,0.05
MAX_P,412.21792936325073,0.04455000162124634,0.6845,2000,2000,0.05
LSA,392.4860734939575,0.04205000400543213,0.4915,2000,2000,0.05
DeepDiv,412.21630668640137,0.052574992179870605,0.0,3000,3000,0.075
DeepDAC,403.894168138504,0.0494999885559082,0.568,3000,3000,0.075
DeepDAC_2,415.7072653770447,0.05187499523162842,0.5823333333333334,3000,3000,0.075
CES,408.13561177253723,0.024524986743927002,0.04533333333333334,3000,3000,0.075
Gini,401.6778838634491,0.05017495155334473,0.719,3000,3000,0.075
Random,405.91955494880676,0.033549964427948,0.057666666666666665,3000,3000,0.075
MAX_P,404.18835639953613,0.051099956035614014,0.6776666666666666,3000,3000,0.075
LSA,414.94075083732605,0.04637497663497925,0.5423333333333333,3000,3000,0.075
DeepDiv,421.82524609565735,0.059149980545043945,0.0,4000,4000,0.1
DeepDAC,417.1601846218109,0.052149951457977295,0.568,4000,4000,0.1
DeepDAC_2,420.6516444683075,0.055599987506866455,0.579,4000,4000,0.1
CES,421.726464509964,0.02629995346069336,0.06225,4000,4000,0.1
Gini,418.86366271972656,0.05692499876022339,0.7015,4000,4000,0.1
Random,420.8538193702698,0.0366249680519104,0.08,4000,4000,0.1
MAX_P,417.3426351547241,0.05452495813369751,0.682,4000,4000,0.1
LSA,405.44529962539673,0.053550004959106445,0.602,4000,4000,0.1
