name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,161.70401740074158,0.02702498435974121,0.0,480,1000,0.025
DeepDAC,156.75273203849792,0.03577500581741333,0.325,815,1000,0.025
DeepDAC_2,145.70617747306824,0.030449986457824707,0.33,736,1000,0.025
CES,155.50317287445068,0.021099984645843506,0.021,814,1000,0.025
Gini,155.35790395736694,0.015275001525878906,0.322,79,1000,0.025
Random,156.1067042350769,0.019550025463104248,0.021,854,1000,0.025
MAX_P,141.57053756713867,0.017799973487854004,0.404,120,1000,0.025
LSA,154.44780850410461,0.0345500111579895,0.102,860,1000,0.025
DeepDiv,158.47623348236084,0.037199974060058594,0.0,1131,2000,0.05
DeepDAC,159.02919101715088,0.043224990367889404,0.4105,1639,2000,0.05
DeepDAC_2,146.69060111045837,0.04432499408721924,0.412,1526,2000,0.05
CES,156.96179056167603,0.02445000410079956,0.046,1617,2000,0.05
Gini,155.1993064880371,0.02114999294281006,0.3535,263,2000,0.05
Random,158.31394457817078,0.02574998140335083,0.0425,1689,2000,0.05
MAX_P,154.91802406311035,0.023225009441375732,0.416,353,2000,0.05
LSA,146.2779848575592,0.04210001230239868,0.193,1643,2000,0.05
DeepDiv,159.1988866329193,0.04509997367858887,0.0,1775,3000,0.075
DeepDAC,160.22412133216858,0.04922497272491455,0.42866666666666664,2465,3000,0.075
DeepDAC_2,160.153418302536,0.04815000295639038,0.41733333333333333,2403,3000,0.075
CES,145.83107256889343,0.03224998712539673,0.061,2424,3000,0.075
Gini,157.35611128807068,0.026825010776519775,0.39566666666666667,513,3000,0.075
Random,161.07041311264038,0.030624985694885254,0.05466666666666667,2525,3000,0.075
MAX_P,157.89293265342712,0.032124996185302734,0.4513333333333333,620,3000,0.075
LSA,145.13024640083313,0.04867500066757202,0.269,2399,3000,0.075
DeepDiv,157.48697519302368,0.04930001497268677,0.0,2395,4000,0.1
DeepDAC,163.54981517791748,0.05570000410079956,0.4315,3335,4000,0.1
DeepDAC_2,163.73300409317017,0.052725017070770264,0.42625,3273,4000,0.1
CES,153.8147165775299,0.034150004386901855,0.08525,3225,4000,0.1
Gini,151.42488884925842,0.031099975109100342,0.45225,786,4000,0.1
Random,162.7146623134613,0.03307497501373291,0.07725,3360,4000,0.1
MAX_P,157.3071608543396,0.0347750186920166,0.51025,974,4000,0.1
LSA,159.88021421432495,0.053250014781951904,0.32375,3168,4000,0.1
