name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,138.11072826385498,0.03602498769760132,0.0,1000,1000,0.025
DeepDAC,157.69999384880066,0.03654998540878296,0.549,1000,1000,0.025
DeepDAC_2,157.57942581176758,0.03855001926422119,0.603,1000,1000,0.025
CES,155.81473994255066,0.018824994564056396,0.036,1000,1000,0.025
Gini,149.39009857177734,0.032875001430511475,0.81,1000,1000,0.025
Random,153.2358582019806,0.019225001335144043,0.034,1000,1000,0.025
MAX_P,157.9920585155487,0.036449968814849854,0.786,1000,1000,0.025
LSA,159.2608277797699,0.035449981689453125,0.167,1000,1000,0.025
DeepDiv,161.4387764930725,0.04605001211166382,0.0,2000,2000,0.05
DeepDAC,142.5002076625824,0.048799991607666016,0.595,2000,2000,0.05
DeepDAC_2,162.83047366142273,0.044725000858306885,0.624,2000,2000,0.05
CES,160.77597570419312,0.026899993419647217,0.06,2000,2000,0.05
Gini,158.76167726516724,0.04407501220703125,0.8635,2000,2000,0.05
Random,146.4914653301239,0.029375016689300537,0.0555,2000,2000,0.05
MAX_P,156.45395350456238,0.04799997806549072,0.826,2000,2000,0.05
LSA,158.9459593296051,0.047224998474121094,0.2935,2000,2000,0.05
DeepDiv,160.85034847259521,0.053250014781951904,0.0,3000,3000,0.075
DeepDAC,152.69232034683228,0.050849974155426025,0.5843333333333334,3000,3000,0.075
DeepDAC_2,155.47978591918945,0.05042499303817749,0.6253333333333333,3000,3000,0.075
CES,161.84195065498352,0.031099975109100342,0.08766666666666667,3000,3000,0.075
Gini,162.7697947025299,0.05312502384185791,0.8453333333333334,3000,3000,0.075
Random,161.3975169658661,0.033399999141693115,0.08666666666666667,3000,3000,0.075
MAX_P,146.50418257713318,0.05349999666213989,0.8273333333333334,3000,3000,0.075
LSA,164.06227684020996,0.051074981689453125,0.372,3000,3000,0.075
DeepDiv,165.71016645431519,0.05847501754760742,0.0,4000,4000,0.1
DeepDAC,163.24793124198914,0.054300010204315186,0.57125,4000,4000,0.1
DeepDAC_2,149.6745617389679,0.05519998073577881,0.626,4000,4000,0.1
CES,162.2254123687744,0.03479999303817749,0.11275,4000,4000,0.1
Gini,163.05910229682922,0.056575000286102295,0.83975,4000,4000,0.1
Random,161.8592095375061,0.037400007247924805,0.10775,4000,4000,0.1
MAX_P,150.5501263141632,0.05704998970031738,0.8325,4000,4000,0.1
LSA,160.41594457626343,0.058324992656707764,0.44575,4000,4000,0.1
