name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,214.69487237930298,0.014491736888885498,0.0,2603,2603,0.025
DeepDAC,212.0041058063507,0.008441507816314697,0.5282366500192086,2603,2603,0.025
DeepDAC_2,210.89643740653992,0.011303365230560303,0.4717633499807914,2603,2603,0.025
CES,198.63358330726624,0.004571259021759033,0.028044563964656165,2603,2603,0.025
Gini,202.37296438217163,0.011351406574249268,0.46177487514406457,2603,2603,0.025
Random,220.7740454673767,0.008086204528808594,0.024587014982712256,2603,2603,0.025
MAX_P,220.8578817844391,0.010707974433898926,0.5405301575105648,2603,2603,0.025
LSA,211.52185153961182,0.010458230972290039,0.024971187091817133,2603,2603,0.025
DeepDiv,213.71291732788086,0.029079556465148926,0.0,5206,5206,0.05
DeepDAC,210.14059400558472,0.028234481811523438,0.5847099500576258,5206,5206,0.05
DeepDAC_2,214.54588675498962,0.027456581592559814,0.5614675374567807,5206,5206,0.05
CES,211.51661252975464,0.011111319065093994,0.044179792547061086,5206,5206,0.05
Gini,203.88763236999512,0.02437382936477661,0.5297733384556281,5206,5206,0.05
Random,216.6341700553894,0.014174818992614746,0.05320783711102574,5206,5206,0.05
MAX_P,206.42182302474976,0.027130067348480225,0.6029581252401076,5206,5206,0.05
LSA,204.14713978767395,0.024950027465820312,0.058202074529389164,5206,5206,0.05
DeepDiv,211.08252620697021,0.03908646106719971,0.0,7809,7809,0.075
DeepDAC,212.48790860176086,0.03770357370376587,0.6163401203739275,7809,7809,0.075
DeepDAC_2,198.29960942268372,0.03737705945968628,0.631578947368421,7809,7809,0.075
CES,198.1299421787262,0.016614139080047607,0.06543731591753105,7809,7809,0.075
Gini,195.19832634925842,0.03415024280548096,0.6173645793315405,7809,7809,0.075
Random,197.04478979110718,0.01937997341156006,0.07670636445127417,7809,7809,0.075
MAX_P,195.71314764022827,0.03473609685897827,0.6236393904469202,7809,7809,0.075
LSA,199.1814043521881,0.03276735544204712,0.08989627353054168,7809,7809,0.075
DeepDiv,200.21485137939453,0.04560732841491699,0.0,10412,10412,0.1
DeepDAC,194.88143801689148,0.04709583520889282,0.6332116788321168,10412,10412,0.1
DeepDAC_2,179.7634801864624,0.04765284061431885,0.6661544371878602,10412,10412,0.1
CES,183.59606075286865,0.020465195178985596,0.08730311179408375,10412,10412,0.1
Gini,190.30280756950378,0.043408095836639404,0.6758547829427584,10412,10412,0.1
Random,185.01232767105103,0.026208102703094482,0.09978870533999232,10412,10412,0.1
MAX_P,185.33402395248413,0.04276466369628906,0.641567422205148,10412,10412,0.1
LSA,191.5535786151886,0.038539111614227295,0.11553976181329235,10412,10412,0.1
