name,time,all,sim_rate,effect_len,cur_select_size,cur_size_ratio
DeepDiv,187.62256455421448,0.010765552520751953,0.0,1933,2603,0.025
DeepDAC,184.84185767173767,0.01490473747253418,0.434882827506723,2602,2603,0.025
DeepDAC_2,167.59929490089417,0.012811124324798584,0.3818670764502497,2598,2603,0.025
CES,162.55329394340515,0.0010371804237365723,0.016519400691509797,1935,2603,0.025
Gini,158.02268147468567,0.005061030387878418,0.3857087975412985,1964,2603,0.025
Random,162.19245147705078,0.0017574429512023926,0.024202842873607376,2156,2603,0.025
MAX_P,157.97120332717896,0.00691455602645874,0.47368421052631576,1955,2603,0.025
LSA,156.02518796920776,0.012369394302368164,0.021513638109873223,2312,2603,0.025
DeepDiv,162.41530561447144,0.018169939517974854,0.0,3872,5206,0.05
DeepDAC,163.69812154769897,0.030798614025115967,0.4844410295812524,5200,5206,0.05
DeepDAC_2,158.99740171432495,0.026064038276672363,0.4406454091432962,5199,5206,0.05
CES,158.7599778175354,0.008259057998657227,0.032270457164809835,3849,5206,0.05
Gini,166.3434784412384,0.016998291015625,0.39416058394160586,3532,5206,0.05
Random,157.8292417526245,0.008700788021087646,0.043027276219746446,4347,5206,0.05
MAX_P,205.23245549201965,0.01959127187728882,0.5172877449097195,3848,5206,0.05
LSA,207.91232180595398,0.01609557867050171,0.050710718401844025,4552,5206,0.05
DeepDiv,207.41755890846252,0.027504563331604004,0.0,5816,7809,0.075
DeepDAC,210.8324568271637,0.03689688444137573,0.5121014214368037,7795,7809,0.075
DeepDAC_2,204.13248348236084,0.037213802337646484,0.5114611345882956,7793,7809,0.075
CES,189.73261761665344,0.009747624397277832,0.04712511205019849,5790,7809,0.075
Gini,190.75629949569702,0.02222263813018799,0.45140222819823284,5042,7809,0.075
Random,192.1523778438568,0.017267167568206787,0.0651812011781278,6547,7809,0.075
MAX_P,187.36715602874756,0.029876649379730225,0.5728006146753746,5765,7809,0.075
LSA,187.18629264831543,0.028647422790527344,0.07785888077858881,6773,7809,0.075
DeepDiv,192.63211607933044,0.03922092914581299,0.0,7768,10412,0.1
DeepDAC,191.57198929786682,0.04525196552276611,0.5189204763734153,10379,10412,0.1
DeepDAC_2,193.79249739646912,0.04504072666168213,0.5300614675374568,10360,10412,0.1
CES,187.96545910835266,0.019331932067871094,0.06098732232039954,7764,10412,0.1
Gini,190.177654504776,0.02761983871459961,0.4888590088359585,6375,10412,0.1
Random,192.51958775520325,0.017814576625823975,0.08384556281213984,8707,10412,0.1
MAX_P,191.8866903781891,0.03633028268814087,0.5746254321936227,7472,10412,0.1
LSA,189.85503387451172,0.03633028268814087,0.10420668459469842,8973,10412,0.1
